,image,rl num_iters,rl exec_time (s),fc-sgp num_iters,fc-sgp exec_time (s),rl fwhm (pix),fc-sgp fwhm (pix),rl l1 centroid_err,fc-sgp l1 centroid_err
0,ccfbta060115.fits,3,0.006879304999529268,2,0.024074249999102904,9.485530960308635,6.561104806671243,4.755617136161358,0.7300369753434239
1,ccfbta060117.fits,3,0.005597880001005251,2,0.0143829270000424,9.462330062647228,5.723706967471305,4.168885187194274,0.8119935897548576
2,ccfbte210072.fits,2,0.004609159999745316,500,3.4553207469998597,7.17145187096745,4.370204587321678,1.7720391464114993,1.0469698348277472
3,ccfbte210073.fits,2,0.004021721000754042,500,3.297205822000251,7.074389608724915,4.360772400930976,1.8021927304844407,1.3135752552669562
4,ccfbte210075.fits,2,0.004718089001471526,500,2.8542924150006,6.936575277313546,4.03136328204567,1.5142269535026252,1.9220690731067087
5,ccfbtg160040.fits,2,0.0046585159998357994,3,0.016735055000026478,7.478855035777989,4.162196330868624,1.765683897620507,2.5474230527135333
6,ccfbua120155.fits,2,0.004151012000875198,3,0.016665445999024087,7.967263946041382,4.548604103007209,2.334585275976691,3.0252526467436347
7,ccfbua120156.fits,2,0.003784193999308627,2,0.011967197999183554,8.740460362523896,4.5837259595897795,5.838449248110486,5.465801631659215
8,ccfbua120157.fits,2,0.005084489999717334,3,0.015540135998890037,8.703942533285804,4.917941340397223,1.9695380240233575,2.075659030370801
9,ccfbua120158.fits,2,0.0036702199995488627,3,0.01491954999983136,8.901593328501693,5.0026389715366015,2.161699289268615,2.674881066991949
10,ccfbua120159.fits,2,0.0038905969995539635,3,0.015269493000232615,8.75369513301789,5.0184445892320735,2.026028825643955,2.4849757923802596
11,ccfbua120160.fits,2,0.004414883000208647,3,0.01703653999902599,7.83439180735151,4.766294304487332,1.8070997231808494,2.573778619398631
12,ccfbua280099.fits,2,0.004471901998840622,2,0.014138042000922724,9.638869631347987,6.327462652767157,2.93676466240208,0.38635936487894895
13,ccfbue110098.fits,2,0.004995251998479944,3,0.015398231998915435,8.39666135712142,4.335330135509914,1.8518729068331492,1.7671115918772404
14,ccfbue110099.fits,2,0.0049513510002725525,3,0.019900900000720867,7.405552809894506,4.10311824977788,2.24105144213282,2.122177312595843
15,ccfbue240134.fits,2,0.0038841880013933405,3,0.01517630699891015,8.987779770484657,4.768120771511679,1.930254654405374,1.2439635302939234
16,ccfbug080020.fits,2,0.004384490001029917,2,0.012805094000214012,10.54260200136779,9.062504660736243,6.738418060544702,0.8012227023484968
17,ccfbug080021.fits,2,0.004086430999450386,2,0.012214034000862739,9.40132453215496,5.656965707933168,3.0005532362844036,1.2735285598709947
18,ccfbug080022.fits,2,0.003763644999708049,2,0.013347154001166928,10.553862256481487,6.506488919458641,6.762936983805977,0.7245723956136914
19,ccfbuk060030.fits,2,0.003728284000317217,2,0.01197181499992439,9.720151697784496,5.347047403909763,4.576462775146164,0.682797200931514
20,ccfbva240057.fits,2,0.004510894001214183,2,0.014060268998946412,8.856580437816344,4.777908620736846,1.428520533679821,0.7724348625169188
21,ccfbva240058.fits,2,0.003826451000350062,2,0.013925563998782309,9.017070687523976,4.600712265618947,1.333313054674944,0.6974193866091074
22,ccfbva240059.fits,2,0.0037705239992646966,2,0.013332713999261614,9.631387437839459,4.724814948177152,3.5563517423741775,0.9495064585027553
23,ccfbva240060.fits,2,0.00405054799921345,2,0.012371033000817988,9.119006803135871,4.6369687025113695,1.6665553623319322,0.8979983455209464
24,ccfbva240061.fits,2,0.003739507999853231,2,0.012134556000091834,8.096058900773343,4.757667535017908,1.7156481836043849,1.59177724660419
25,ccfbvb230022.fits,2,0.00379323699962697,2,0.01333684900055232,9.411807185082354,5.881355578480408,3.432045216502628,1.5771223346389878
26,ccfbvc170118.fits,2,0.0038469880000775447,2,0.01346721499976411,9.429846370690715,9.267932480906085,3.5673812209239735,1.0565880992890264
27,ccfbvc170119.fits,2,0.004515827999057365,2,0.01386244999957853,8.913115547106523,6.5189489137867245,0.407118215593977,0.3940276613987894
28,ccfbvc170120.fits,3,0.006103005000113626,2,0.013552452001022175,9.168878804983512,8.923361715964123,2.070953425076093,1.0653976507279008
29,ccfbvc170121.fits,3,0.007262464001541957,3,0.017559648998940247,8.408488058743211,6.7018537700738445,1.1239159661171954,0.404575732742531
